Address	Exchange
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo	Binance
3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb	Binance
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6	Binance
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h	Binance
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8	Binance
0xf977814e90da44bfa03b6295a0616a897441acec	Binance
0x5a52e96bacdabb82fd05763e25335261b270efcb	Binance
0x28c6c06298d514db089934071355e5743bf21d60	Binance
0x9696f59e4d72e237be84ffd425dcad154bf96976	Binance
0x21a31ee1afc51d94c2efccaa2092ad1028285549	Binance
0xdfd5293d8e347dfe59e90efd55b2956a1343963d	Binance
0x56eddb7aa87536c09ccc2793473599fd21a8b17f	Binance
0x4976a4a02f38326660d17bf34b431dc6e2eb2327	Binance
0xa344c7aDA83113B3B56941F6e85bf2Eb425949f3	Binance
0x28c6c06298d514db089934071355e5743bf21d60	Binance
0x21a31ee1afc51d94c2efccaa2092ad1028285549	Binance
0xdfd5293d8e347dfe59e90efd55b2956a1343963d	Binance
TV6MuMXfmLbBqPZvBHdwFsDnQeVfnmiuSi	Binance
0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503	Binance
0xf977814e90da44bfa03b6295a0616a897441acec	Binance
0xa344c7aDA83113B3B56941F6e85bf2Eb425949f3	Binance
0x28c6c06298d514db089934071355e5743bf21d60	Binance
0x21a31ee1afc51d94c2efccaa2092ad1028285549	Binance
0x56eddb7aa87536c09ccc2793473599fd21a8b17f	Binance
0xdfd5293d8e347dfe59e90efd55b2956a1343963d	Binance
0x9696f59e4d72e237be84ffd425dcad154bf96976	Binance
0x4976a4a02f38326660d17bf34b431dc6e2eb2327	Binance
TMuA6YqfCeX8EhbfYEg5y7S4DqzSJireY9	Binance
TWd4WrZ9wn84f5x1hZhL4DHvk738ns5jwb	Binance
TV6MuMXfmLbBqPZvBHdwFsDnQeVfnmiuSi	Binance
TJDENsfBJs4RFETt1X1W8wMDc8M5XnJhCe	Binance
TAzsQ9Gx8eqFNFSKbeXrbi45CuVPHzA8wr	Binance
TQrY8tryqsYVCYS3MFbtffiPp2ccyn4STm	Binance
TNXoiAJ3dct8Fjg4M9fkLFh9S2v9TXc32G	Binance
TYASr5UV6HEcXatwdFQfmLVUqQQQMUxHLS	Binance
0xf977814e90da44bfa03b6295a0616a897441acec	Binance
0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503	Binance
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8	Binance
0x5a52e96bacdabb82fd05763e25335261b270efcb	Binance
