Address	Exchange
0xa344c7aDA83113B3B56941F6e85bf2Eb425949f3	Binance
0xdfd5293d8e347dfe59e90efd55b2956a1343963d	Binance
0x28c6c06298d514db089934071355e5743bf21d60	Binance
0x21a31ee1afc51d94c2efccaa2092ad1028285549	Binance
bnb1edrs5cukhx060e02u98v9j8spum7vhuqg9ctxd	Binance
bnb142q467df6jun6rt5u2ar58sp47hm5f9wvz2cvg	Binance
bnb1u2agwjat20494fmc6jnuau0ls937cfjn4pjwtn	Binance
bnb1lsmt5a8vqqus5fwslx8pyyemgjtg4y6ugj308t	Binance
bnb1fnd0k5l4p3ck2j9x9dp36chk059w977pszdgdz	Binance
bnb1jxfh2g85q3v0tdq56fnevx6xcxtcnhtsmcu64m	Binance
bnb1m5amny2gs3xdyta6pksmr43zu4727w24syyks7	Binance
bnb1panyupy43sazh4dka6fg3s08909ejhqz4k23eg	Binance
bnb1ymasdm96ld0v6s38ylvu0qsw0xmhdlhy47tpsg	Binance
bnb1tdcrvgjl580p2qv77y0cu2ezk3c80039psx6sh	Binance
bnb1e08c39tjpr5fvdh4cfhqmyclrh62ag45qmddud	Binance
bnb1lq4s05lgat8d0qh275q0elt4m9rs760m0ryced	Binance
bnb1t5fn9faqu5aanvexqu8dt9tah4jg20eun8gsee	Binance
bnb1dkckvfuqv7fjl902cvuqmde27skk94kjp09j99	Binance
bnb14u5qnp4peug4a6wlz327mx9xjd0xf6phe7ew8u	Binance
bnb19fk9hqqlp8xcwrt0w35weyufnglp43hlthev3l	Binance
bnb1uexf06gd94qsxdmqamk360d893dsrm8lvwyjsd	Binance
bnb1uwdm6vrfvx43wqj8cj3h362kad0g0nrk3gumg8	Binance
bnb1a5f0ghn3c2whfmz3z0wjggwcgsk2t26ynqn68x	Binance
bnb1s3czyqxaf4hyt3rueg9gss08nfnvxjzy5qfu2p	Binance
bnb1yud0r5kz3ctu07fwax3j753ueef6d0n0uxrx94	Binance
bnb1fxk3lmfu2h0qhywdump0hvggg6prlge88f42n9	Binance
bnb1erq4ykp99sm87tsrfg8mgjef350gqtzhsqwys6	Binance
bnb1u70jtt2umum4ag3vcpw2h8v8levm47t0mtjwmh	Binance
bnb1xrfwzlu9c5208lhtn7ywt0mjrhjh4nt4fjyqxy	Binance
0xf977814e90da44bfa03b6295a0616a897441acec	Binance
0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8	Binance
0x5a52e96bacdabb82fd05763e25335261b270efcb	Binance
0x3c783c21a0383057d128bae431894a5c19f9cf06	Binance
0xdccf3b77da55107280bd850ea519df3705d1a75a	Binance
0x8894e0a0c962cb723c1976a4421c95949be2d4e3	Binance
0x515b72ed8a97f42c568d6a143232775018f133c8	Binance
0xbd612a3f30dca67bf60a39fd0d35e39b7ab80774	Binance
0x01c952174c24e1210d26961d456a77a39e1f0bb0	Binance
0x29bdfbf7d27462a2d115748ace2bd71a2646946c	Binance
0xe2fc31f816a9b94326492132018c3aecc4a93ae1	Binance
0x73f5ebe90f27b46ea12e5795d16c4b408b19cc6f	Binance
0x161ba15a5f335c9f06bb5bbb0a9ce14076fbb645	Binance
0x1fbe2acee135d991592f167ac371f3dd893a508b	Binance
0xeb2d2f1b8c558a40207669291fda468e50c8a0bb	Binance
0xa180fe01b906a1be37be6c534a3300785b20d947	Binance
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8	Binance
0xf977814e90da44bfa03b6295a0616a897441acec	Binance
DdzFFzCqrhsuQV5ohP1EBh9d4UjmmWDb2V...	Houbi
cosmos1nynns8ex9fq6sjjfj8k79ymkdz4sqth06xexae	Houbi
17om4dHcDNy9LAagMj8mGW59vyXjvA3GBn	Houbi
qptsxhxxuyww0a3s3gy2ee9cwdgjhz7pqyw9d2dwsl	Houbi
0xa929022c9107643515f5c777ce9a910f0d1e490c	Houbi
143gLvWYUojXaWZRrxquRKpVNTkhmr415B	Houbi
12qTdZHx6f77aQ74CPCZGSY47VaRwYjVD8	Houbi
14XKsv8tT6tt8P8mfDQZgNF8wtN5erNu5D	Houbi
DFCT8ZPq6MytZU3HSvbTJevxt4MLq2Xasu	Houbi
DTzJt8f1YxgpBwVhEfZgkvvZixMLpxjCHG	Houbi
DHcYzg33fr3rmHzQjXjNvYW8gTzxU7FWWK	Houbi
D7G2oPDhfUCQv5G3KwavFghRmmDd1eKKL7	Houbi
145pfvzsdw4zcZHv8v97rY1C8MfbKN5LKDV7JaNgm6tA65bE	Houbi
15kUt2i86LHRWCkE3D9Bg1HZAoc2smhn1fwPzDERTb1BXAkX	Houbi
vuniyuoxoeub	Houbi
0x6667ed6cb6e7accc4004e8844dbdd0e72d58c31c	Houbi
0x66F82BeCAE07AA9Ae95BF92aCA888AB185Ef70C2	Houbi
0x18709e89bd403f470088abdacebe86cc60dda12e	Houbi
0xcac725bef4f114f728cbcfd744a731c2a463c3fc	Houbi
0xa929022c9107643515f5c777ce9a910f0d1e490c	Houbi
f1abjxfbp274xpdqcpuaykwkfb43omjotacm2p3za	Houbi
f1rmrlyjzym3jgv6tt77kbbbwbz6huxbimlt5va7y	Houbi
0xa929022c9107643515f5c777ce9a910f0d1e490c	Houbi
0x0511509A39377F1C6c78DB4330FBfcC16D8A602f	Houbi
0x1205E4f0D2f02262E667fd72f95a68913b4F7462	Houbi
0xe4818f8fde0c977a01da4fa467365b8bf22b071e	Houbi
0x5c985e89dde482efe97ea9f1950ad149eb73829b	Houbi
0x18709e89bd403f470088abdacebe86cc60dda12e	Houbi
MNky8PL58UjL14mcZm3ESvEkYQkzMY9kfu	Houbi
0xd70250731a72c33bfb93016e3d1f0ca160df7e42	Houbi
0x18709e89bd403f470088abdacebe86cc60dda12e	Houbi
0xc589b275e60dda57ad7e117c6dd837ab524a5666	Houbi
88xTWZMeKfiTgbfEmPLdsUCQcZinwUfk25EBQZ21XMAZ	Houbi
TYh6mgoMNZTCsgpYHBz7gttEfrQmDMABub	Houbi
TKgD8Qnx9Zw3DNvG6o83PkufnMbtEXis4T	Houbi
TCQQjfccKdMi4CnPAzmZW5TALH4HbwceVb	Houbi
TNaRAoLUyYEV2uF7GUrzSjRQTU8v5ZJ5VR	Houbi
TDToUxX8sH4z6moQpK3ZLAN24eupu2ivA4	Houbi
TCiRCBNFrL6bFKWL94yWQi5hNMGNp1Nu27	Houbi
TGn1uvntAVntT1pG8o7qoKkbViiYfeg6Gj	Houbi
TAuUCiH4JVNBZmDnEDZkXEUXDARdGpXTmX	Houbi
TUJGLHo3rq4EAUY1LHRhNkHPX8qmrv9WFs	Houbi
TF2fmSbg5HAD34KPUH7WtWCxxvgXHohzYM	Houbi
THZovMcKoZaV9zzFTWteQYd2f3NEvnzxAM	Houbi
TZ1SsapyhKNWaVLca6P2qgVzkHTdk6nkXa	Houbi
TRSXRWudzfzY4jH7AaMowdMNUXDkHisbcd	Houbi
0x5c985e89dde482efe97ea9f1950ad149eb73829b	Houbi
0x18709e89bd403f470088abdacebe86cc60dda12e	Houbi
TDToUxX8sH4z6moQpK3ZLAN24eupu2ivA4	Houbi
TNaRAoLUyYEV2uF7GUrzSjRQTU8v5ZJ5VR	Houbi
J4AEINCSSLDA7LNBNWM4ZXFCTLTOZT5LG3F5BLMFPJYGFWVCMU37EZI2AM	Houbi
0xe195b82df6a797551eb1acd506e892531824af27	Houbi
0xa929022c9107643515f5c777ce9a910f0d1e490c	Houbi
0x18709e89bd403f470088abdacebe86cc60dda12e	Houbi
TNaRAoLUyYEV2uF7GUrzSjRQTU8v5ZJ5VR	Houbi
0x18709e89bd403f470088abdacebe86cc60dda12e	Houbi
0x30741289523c2e4d2a62c7d6722686d14e723851	Houbi
rKUDvXFJMFu65LqPTH3Yfpii4rbKT9bSQT	Houbi
bc1qgrxsrmrhsapvh9addyx6sh8j4rw0sn9xtur9uq	Kucoin
38fJPq4dYGPoJizEUGCL9yWkqg73cJmC2n	Kucoin
bc1q8yja3gw33ngd8aunmfr4hj820adc9nlsv0syvz	Kucoin
bc1q080rkmk3kj86pxvf5nkxecdrw6nrx3zzy9xl7q	Kucoin
TRYL7PKCG4b4xRCM554Q5J6o8f1UjUmfnY	Kucoin
0xd6216fc19db775df9774a6e33526131da7d19a2c	Kucoin
0xd6216fc19db775df9774a6e33526131da7d19a2c	Kucoin
0xcad621da75a66c7a8f4ff86d30a2bf981bfc8fdd	Kucoin
0xd89350284c7732163765b23338f2ff27449e0bf5	Kucoin
0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23	Kucoin
0xd6216fc19db775df9774a6e33526131da7d19a2c	Kucoin
0xec30d02f10353f8efc9601371f56e808751f396f	Kucoin
0x88bd4d3e2997371bceefe8d9386c6b5b4de60346	Kucoin
0xd6216fc19db775df9774a6e33526131da7d19a2c	Kucoin
TQeNNo5zVarhdKm5EiJSekfNXg6H1tRN4n	Kucoin
TUpHuDkiCCmwaTZBHZvQdwWzGNm5t8J2b9	Kucoin
TEWzF5ZsaWMh6sTNDPrYaPJrK8TTMGfwCC	Kucoin
TRYL7PKCG4b4xRCM554Q5J6o8f1UjUmfnY	Kucoin
T6MXHXMGXURKJ7AD5NCB4IYPLWX	Kucoin
YXKKFLLO5KAPJ5	Kucoin
6GKS7BFXHNHOODZCM	Kucoin
IMGMVBZEPMM36AIMWI7FZHG2G44	Kucoin
KEESC5ALZHWX7B7SBNBDY6Z7COYMO6U	Kucoin
qlwzviixzm1h	Kucoin
kucoinrise11	Kucoin
0xd6216fc19db775df9774a6e33526131da7d19a2c	Kucoin
0x2a8c8b09bd77c13980495a959b26c1305166a57f	Kucoin
0x14ea40648fc8c1781d19363f5b9cc9a877ac2469	Kucoin
0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23	Kucoin
0xd6216fc19db775df9774a6e33526131da7d19a2c	Kucoin
0x03e6fa590cadcf15a38e86158e9b3d06ff3399ba	Kucoin
0xf3f094484ec6901ffc9681bcb808b96bafd0b8a8	Kucoin
T6MXHXMGXURKJ7AD5NCB4IYPLWX	Kucoin
YXKKFLLO5KAPJ56GKS7BFXHNHOODZCM	Kucoin
IMGMVBZEPMM36AIMWI7FZHG2G44	Kucoin
KEESC5ALZHWX7B7SBNBDY6Z7COYMO6U	Kucoin
0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91	Kucoin
0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea	Kucoin
0xd6216fc19db775df9774a6e33526131da7d19a2c	Kucoin
0x1692e170361cefd1eb7240ec13d048fd9af6d667	Kucoin
TUpHuDkiCCmwaTZBHZvQdwWzGNm5t8J2b9	Kucoin
TRYL7PKCG4b4xRCM554Q5J6o8f1UjUmfnY	Kucoin
0xd6216fc19db775df9774a6e33526131da7d19a2c	Kucoin
0x2a8c8b09bd77c13980495a959b26c1305166a57f	Kucoin
0x14ea40648fc8c1781d19363f5b9cc9a877ac2469	Kucoin
0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23	Kucoin
0x03e6fa590cadcf15a38e86158e9b3d06ff3399ba	Kucoin
0xf3f094484ec6901ffc9681bcb808b96bafd0b8a8	Kucoin
0xd6216fc19db775df9774a6e33526131da7d19a2c	Kucoin
0xa3f45e619ce3aae2fa5f8244439a66b203b78bcc	Kucoin
0xebb8ea128bbdff9a1780a4902a9380022371d466	Kucoin
0xd6216fc19db775df9774a6e33526131da7d19a2c	Kucoin
0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23	Kucoin
0xd6216fc19db775df9774a6e33526131da7d19a2c	Kucoin
0x14ea40648fc8c1781d19363f5b9cc9a877ac2469	Kucoin
0x2a8c8b09bd77c13980495a959b26c1305166a57f	Kucoin
0xd6216fc19db775df9774a6e33526131da7d19a2c	Kucoin
0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91	Kucoin
0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea	Kucoin
